label,publish,labelclean,region,no_vertices,color_r,color_g,color_b,mni_avg_x,mni_avg_y,mni_avg_z,Acronyms,Name,RSN,shorthand
bankssts L,Banks of Sup. Temp. Sulcus L,banksstsL,LT,76,0.098039216,0.392156863,0.156862745,-53.09083136,-45.17865159,7.536198996,BSTS L,bankssts L,other,BSTSL
bankssts R,Banks of Sup. Temp. Sulcus R,banksstsR,RT,70,0.098039216,0.392156863,0.156862745,53.59659233,-40.68084022,9.873798663,BSTS R,bankssts R,other,BSTSR
caudalanteriorcingulate L,Caudal Anterior Cingulate L,caudalanteriorcingulateL,LL,48,0.490196078,0.392156863,0.62745098,-5.068496306,20.59873183,26.43535837,cACC L,caudalanteriorcingulate L,DAN,cACCL
caudalanteriorcingulate R,Caudal Anterior Cingulate R,caudalanteriorcingulateR,RL,68,0.490196078,0.392156863,0.62745098,4.415227087,21.79904881,26.58150997,cACC R,caudalanteriorcingulate R,DMN,cACCR
caudalmiddlefrontal L,Caudal Middle Frontal L,caudalmiddlefrontalL,LF,224,0.392156863,0.098039216,0,-37.30340602,11.31617858,46.93655853,cMFG L,caudalmiddlefrontal L,SAN,cMFGL
caudalmiddlefrontal R,Caudal Middle Frontal R,caudalmiddlefrontalR,RF,186,0.392156863,0.098039216,0,36.60156017,13.21335674,48.06370396,cMFG R,caudalmiddlefrontal R,SAN,cMFGR
cuneus L,Cuneus L,cuneusL,LO,93,0.862745098,0.078431373,0.392156863,-5.825780866,-79.8351715,19.42173702,CUN L,cuneus L,VIS,CUNL
cuneus R,Cuneus R,cuneusR,RO,99,0.862745098,0.078431373,0.392156863,7.998451041,-77.92548579,20.32712091,CUN R,cuneus R,VIS,CUNR
entorhinal L,Entorhinal L,entorhinalL,LT,30,0.862745098,0.078431373,0.039215686,-26.37986643,-4.79147216,-33.2702963,ENT L,entorhinal L,other,ENTL
entorhinal R,Entorhinal R,entorhinalR,RT,32,0.862745098,0.078431373,0.039215686,23.46317216,-5.681483021,-35.09085675,ENT R,entorhinal R,other,ENTR
frontalpole L,Frontal Pole L,frontalpoleL,LPF,22,0.392156863,0,0.392156863,-7.326240498,68.35492443,-10.88895031,FP L,frontalpole L,other,FPL
frontalpole R,Frontal Pole R,frontalpoleR,RPF,30,0.392156863,0,0.392156863,7.323236893,67.77775614,-14.68464709,FP R,frontalpole R,other,FPR
