nettype,labels,channel,side,region,sph_radius,sph_theta,sph_phi,theta,radius,X,Y,Z
MEA30,Ch 01,1,L,Temporal,1,-132,-13,132,0.572222222,-0.651980832,-0.724098072,-0.224951054
MEA30,Ch 02,2,L,Temporal,1,-153,8,153,0.455555556,-0.88233531,-0.449572295,0.139173101
MEA30,Ch 03,3,L,Medial,1,-171,16,171,0.411111111,-0.949426969,-0.150374459,0.275637356
MEA30,Ch 04,4,L,Temporal,1,-121,1,121,0.494444444,-0.514959632,-0.85703675,0.017452406
MEA30,Ch 05,5,L,Temporal,1,-133,21,133,0.383333333,-0.63670032,-0.682777501,0.35836795
MEA30,Ch 06,6,L,Medial,1,-162,40,162,0.277777778,-0.728551559,-0.236720751,0.64278761
MEA30,Ch 07,7,L,Temporal,1,-106,12,106,0.433333333,-0.269614018,-0.940255822,0.207911691
MEA30,Ch 08,8,L,Temporal,1,-114,35,114,0.305555556,-0.333179153,-0.748332629,0.573576436
MEA30,Ch 09,9,L,Medial,1,-146,62,146,0.155555556,-0.389209565,-0.262525166,0.882947593
MEA30,Ch 10,10,L,Temporal,1,-83,24,83,0.366666667,0.111333185,-0.906736028,0.406736643
MEA30,Ch 11,11,L,Temporal,1,-77,54,77,0.2,0.132222912,-0.572720354,0.809016994
MEA30,Ch 12,12,L,Frontal,1,-39,41,39,0.272222222,0.586519502,-0.474954128,0.656059029
MEA30,Ch 13,13,L,Frontal,1,-10,51,10,0.216666667,0.6197596,-0.109280339,0.777145961
MEA30,Ch 14,14,L,Frontal,1,-21,17,21,0.405555556,0.892787402,-0.342708975,0.292371705
MEA30,Ch 15,15,L,Frontal,1,-6,22,6,0.377777778,0.922104644,-0.096917103,0.374606593
MEA30,Ch 16,16,R,Frontal,1,6,22,-6,0.377777778,0.922104644,0.096917103,0.374606593
MEA30,Ch 17,17,R,Frontal,1,23,17,-23,0.405555556,0.880283169,0.373658036,0.292371705
MEA30,Ch 18,18,R,Frontal,1,10,51,-10,0.216666667,0.6197596,0.109280339,0.777145961
MEA30,Ch 19,19,R,Frontal,1,40,41,-40,0.272222222,0.57814108,0.485117967,0.656059029
MEA30,Ch 20,20,R,Temporal,1,74,54,-74,0.2,0.162015573,0.565015448,0.809016994
MEA30,Ch 21,21,R,Temporal,1,81,27,-81,0.35,0.139384129,0.880036755,0.4539905
MEA30,Ch 22,22,R,Medial,1,146,63,-146,0.15,-0.376375182,0.253868266,0.891006524
MEA30,Ch 23,23,R,Temporal,1,115,36,-115,0.3,-0.341905356,0.733218402,0.587785252
MEA30,Ch 24,24,R,Temporal,1,107,13,-107,0.427777778,-0.284878237,0.931794727,0.224951054
MEA30,Ch 25,25,R,Medial,1,163,40,-163,0.277777778,-0.732571944,0.22396972,0.64278761
MEA30,Ch 26,26,R,Temporal,1,135,21,-135,0.383333333,-0.66014105,0.66014105,0.35836795
MEA30,Ch 27,27,R,Temporal,1,123,1,-123,0.494444444,-0.544556084,0.838542834,0.017452406
MEA30,Ch 28,28,R,Medial,1,171,16,-171,0.411111111,-0.949426969,0.150374459,0.275637356
MEA30,Ch 29,29,R,Temporal,1,153,8,-153,0.455555556,-0.88233531,0.449572295,0.139173101
MEA30,Ch 30,30,R,Temporal,1,134,-12,-134,0.566666667,-0.679478418,0.7036205,-0.207911691
