chan_name,mea_formatted_name,og_amplifier_pin,chan_type,ntv_chan_idx,ntv_chan_name,sys_chan_idx,site_shape,port,absolute_idx,scs_to_tcs_y,site_lim_x_min,site_lim_z_max,site_ctr_y,headstage_id,site_ctr_z,site_ctr_x,site_ctr_tcs_x,site_lim_x_max,probe_id,site_ctr_tcs_y,site_num,sensor_units,scs_to_tcs_z,is_audio,is_audio_left,is_audio_right,is_selected,site_lim_y_min,site_lim_y_max,scs_to_tcs_x,site_lim_z_min,dsrc_uid,sensor_uid,site_ctr_tcs_z,color_grp_idx
pri_0,E1,pri_29,ai0,0,port_A_0,0,circle,A,4,0,674.114,0,404.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,1,uV,0,0,0,0,1,430,380,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_1,E2,pri_27,ai0,1,port_A_1,1,circle,A,5,0,674.114,0,223.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,2,uV,0,0,0,0,1,249,199,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_2,E3,pri_25,ai0,2,port_A_2,2,circle,A,12,0,674.114,0,99.99961,hstg__passthrough_32,0,699.11361,0,724.114,probe__eeg_mouse_1x30,0,3,uV,0,0,0,0,1,125,75,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,3
pri_3,E4,pri_23,ai0,3,port_A_3,3,circle,A,6,0,564.114,0,412.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,4,uV,0,0,0,0,1,438,388,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_4,E5,pri_21,ai0,4,port_A_4,4,circle,A,7,0,564.114,0,287.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,5,uV,0,0,0,0,1,313,263,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_5,E6,pri_19,ai0,5,port_A_5,5,circle,A,13,0,564.114,0,112.99961,hstg__passthrough_32,0,589.11361,0,614.114,probe__eeg_mouse_1x30,0,6,uV,0,0,0,0,1,138,88,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,3
pri_6,E7,pri_17,ai0,6,port_A_6,6,circle,A,8,0,456.114,0,404.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,7,uV,0,0,0,0,1,430,380,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_7,E8,pri_30,ai0,7,port_A_7,7,circle,A,9,0,456.114,0,287.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,8,uV,0,0,0,0,1,313,263,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_8,E9,pri_28,ai0,8,port_A_8,8,circle,A,14,0,456.114,0,111.99961,hstg__passthrough_32,0,481.11361,0,506.114,probe__eeg_mouse_1x30,0,9,uV,0,0,0,0,1,137,87,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,3
pri_9,E10,pri_26,ai0,9,port_A_9,9,circle,A,10,0,308.114,0,349.99961,hstg__passthrough_32,0,333.11361,0,358.114,probe__eeg_mouse_1x30,0,10,uV,0,0,0,0,1,375,325,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_10,E11,pri_24,ai0,10,port_A_10,10,circle,A,11,0,308.114,0,211.99961,hstg__passthrough_32,0,333.11361,0,358.114,probe__eeg_mouse_1x30,0,11,uV,0,0,0,0,1,237,187,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,2
pri_11,E12,pri_22,ai0,11,port_A_11,11,circle,A,0,0,156.114,0,192.99961,hstg__passthrough_32,0,181.11439,0,206.114,probe__eeg_mouse_1x30,0,12,uV,0,0,0,0,1,218,168,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,1
pri_12,E13,pri_20,ai0,12,port_A_12,12,circle,A,1,0,156.114,0,54.99961,hstg__passthrough_32,0,181.11439,0,206.114,probe__eeg_mouse_1x30,0,13,uV,0,0,0,0,1,80,30,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,1
pri_13,E14,pri_18,ai0,13,port_A_13,13,circle,A,2,0,30.114,0,149.99961,hstg__passthrough_32,0,55.11439,0,80.114,probe__eeg_mouse_1x30,0,14,uV,0,0,0,0,1,175,125,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,1
pri_14,E15,pri_16,ai0,14,port_A_14,14,circle,A,3,0,30.114,0,49.99961,hstg__passthrough_32,0,55.11439,0,80.114,probe__eeg_mouse_1x30,0,15,uV,0,0,0,0,1,75,25,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,1
pri_15,E16,pri_14,ai0,15,port_A_15,15,circle,A,15,0,30.114,0,-49.99961,hstg__passthrough_32,0,55.11439,0,80.114,probe__eeg_mouse_1x30,0,16,uV,0,0,0,0,1,-25,-75,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,4
pri_16,E17,pri_12,ai0,16,port_A_16,16,circle,A,16,0,30.114,0,-149.99961,hstg__passthrough_32,0,55.11439,0,80.114,probe__eeg_mouse_1x30,0,17,uV,0,0,0,0,1,-125,-175,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,4
pri_17,E18,pri_10,ai0,17,port_A_17,17,circle,A,17,0,156.114,0,-54.99961,hstg__passthrough_32,0,181.11439,0,206.114,probe__eeg_mouse_1x30,0,18,uV,0,0,0,0,1,-30,-80,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,4
pri_18,E19,pri_8,ai0,18,port_A_18,18,circle,A,18,0,156.114,0,-192.99961,hstg__passthrough_32,0,181.11439,0,206.114,probe__eeg_mouse_1x30,0,19,uV,0,0,0,0,1,-168,-218,0,0,SmartboxPro Signals,hstg__passthrough_32/probe__eeg_mouse_1x30,0,4
